occupation,hisco,STATUS,PRODUCT,RELATION,id,comment,title_hisco,checking_needed,RANK,SECTOR,INDUSTRY,drop,engl_descr
obereisenbahntelegrapheninspektor,22275,,,,1147,,Telecommunications Service Supervisor,0,a,C,11,0,
signalwärter,98430,,,,5086,,Railway Signaller,0,c,C,11,0,
betriebsdirektionsmitglied,21960,,,,414,,Transport Operations Managers,0,a,C,11,0,
billetdrucker,59990,,,,496,,Other Service Workers Not Elsewhere Classified,1,c,C,11,0,
güterlader,97130,,,,2025,,Railway and Road Vehicle Loader,0,c,C,11,1,"hauler, railway service"
stationsvorsteher,22210,,,,5292,,Railway Station Master,0,a,C,11,0,
güterexpeditionsdiätar,39960,,,,2017,,Railway Clerk,0,b,C,11,0,
eisenbahnwärter,98990,,,,1160,,Other Transport Equipment Operators,0,c,C,11,0,
eisenbahnrat,22230,,,,1123,,Railway Service Supervisor,0,a,C,11,0,
gepäckträger,97130,,,,1813,,Railway and Road Vehicle Loader,0,c,C,11,0,"baggage porter, railway service"
eisenbahnoffizial,39960,,,,1118,,Railway Clerk,0,b,C,11,0,
eisenbanaspirant,39960,,,,1073,,Railway Clerk,0,b,C,11,0,
maschineninspektionsassistent,39960,,,,3551,,Railway Clerk,0,b,C,11,0,
güterinspektor,39960,,,,2022,,Railway Clerk,0,b,C,11,0,
stationswärter,98430,,,,5293,,Railway Signaller,0,c,C,11,0,
eisenbahndirektionspräsident,21960,,,,1101,,Transport Operations Managers,0,a,C,11,0,
oberverkehrsinspektor,22240,,,,5843,,Railway Transport Service Inspector,0,a,C,11,0,
eisenbahnbetriebstelegrapheninspektor,22275,,,,1087,,Telecommunications Service Supervisor,0,a,C,11,0,
telegraphistin,38040,,,,5599,,Telegrapher,0,b,C,11,1,"telegrapher, railway service (fem.)"
eisenbahntelegraphist,38040,,,,1150,,Telegrapher,0,b,C,11,0,
betriebsrendant,39960,,,,419,,Railway Clerk,0,b,C,11,0,
eisenbahnbetriebstelegraphist,38040,,,,1088,,Telegrapher,0,b,C,11,0,
eisenbahninspektor,22230,,,,0,"could refer to various occupations, http://www.zeno.org/Roell-1912/A/Eisenbahnbauinspektor,+Bauinspektor,+Oberbauinspektor?hl=eisenbahninspektor",Railway Service Supervisor,0,a,C,11,0,
oberbauinspektor,22230,,,,0,"http://www.zeno.org/Roell-1912/A/Eisenbahnbauinspektor,+Bauinspektor,+Oberbauinspektor?hl=eisenbahninspektor",Railway Service Supervisor,0,a,C,11,0,
betriebsinspektor,22230,,,,417,http://www.zeno.org/Roell-1912/A/Betriebsinspektor?hl=betriebsinspektor,Railway Service Supervisor,0,a,C,11,0,
obermaschinenmeister,84915,,,,3917,http://www.zeno.org/Roell-1912/A/Betriebsmaschinendienst?hl=obermaschinenmeister,Reciprocating Steam Engine Mechanic,0,a,C,11,0,
eisenbahnstationseinnehmer,39960,,,,1135,,Railway Clerk,0,b,C,11,0,
stationsarbeiter,99910,,,,5277,,Labourer,0,c,C,11,0,
weichenwärter,98430,,,,6085,,Railway Signaller,0,c,C,11,0,
gepäckexpedient,39960,,,,1812,coded as Gepäckabfertigungsbeamter;mid level; http://www.zeno.org/Roell-1912/A/Gep%C3%A4ckexpedition?hl=gepackexpedition,Railway Clerk,1,b,C,11,0,
eisenbahnstempler,36020,,,,1142,,Railway Passenger Train Guard,0,c,C,11,0,
stationsaufseher,39960,,,,5280,,Railway Clerk,0,b,C,11,0,
billetrevisor,36020,,,,502,,Railway Passenger Train Guard,0,c,C,11,0,
eisenbahnstationskontrolleur,39960,,,,1138,,Railway Clerk,0,b,C,11,0,
eisenbahntelegraphenaufseher,85630,,,,1144,,Telephone and Telegraph Mechanic,0,c,C,11,0,
eisenbahnbürobeamter,39960,,,,0,,Railway Clerk,0,b,C,11,0,railway office clerk (generic)
gepäckverwalter,39960,,,,1815,,Railway Clerk,0,b,C,11,0,
eisenbahntransportinspektor,22240,,,,1152,,Railway Transport Service Inspector,0,a,C,11,0,
packer,97130,,,,4055,,Railway and Road Vehicle Loader,0,c,C,11,0,"packer, railway service"
güterexpeditionskassierer,39960,,,,2018,,Railway Clerk,0,b,C,11,0,
maschinenverwaltungsassistent,84915,,,,3564,,Reciprocating Steam Engine Mechanic,0,b,C,11,0,
eisenbahnbetriebsadjunkt,39960,,,,1078,,Railway Clerk,0,b,C,11,0,
bahnaufseher,39960,,,,0,http://www.zeno.org/Roell-1912/A/Bahnmeister?hl=bahnaufseher,Railway Clerk,0,b,C,11,0,
haltsteller,98430,,,,2122,,Railway Signaller,0,c,C,11,0,
eisenbahnkalkulator,39960,,,,1109,,Railway Clerk,0,b,C,11,0,
bahnkontrolleur,39960,,,,1082,,Railway Clerk,0,b,C,11,0,
fuhrgeschäft,98620,Business,,,1596,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
fuhrwerksbesitzer,98620,"Owner, proprietor",,,1596,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
sackfuhrwerker,98620,"Owner, proprietor",,,1596,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
fuhrwerkbesitzer,98620,"Owner, proprietor",,,1596,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
möbelfuhrwerksbesitzer,98620,"Owner, proprietor",,,1596,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
inhaber eines fuhrgeschäfts,98620,"Owner, proprietor",,,1596,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
straßenbahn,36040,Business,,,5425,,Bus Conductor,0,,C,12,0,
pferdehalter,41040,,,,4189,,Working Proprietor (Hiring Out),0,,C,12,0,
mietskutscher,98620,,,,3675,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
pferdeeisenbahn,36040,Business,,,4185,,Bus Conductor,0,,C,12,0,
hauderer,98620,,,,2177,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
droschkenpächter,98620,"Lease-holder, share-cropper",,,1032,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
lohnkutscher,98620,,,,3435,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
omnibuskondukteur,36040,,,,4016,,Bus Conductor,0,,C,12,0,
omnibusbesitzer,36040,"Owner, proprietor",,,4016,,Bus Conductor,0,,C,12,0,
posthalter,41040,,,,4328,,Working Proprietor (Hiring Out),0,,C,12,0,
fuhrherr,98620,,,,1596,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
fuhrmann,98620,,,,1596,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
botenfuhrwerker,98620,,,,610,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
stallmeister,62460,,,,5269,,Horse Worker,0,,C,12,0,
droschkenfuhrherr,98620,,,,1032,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
pferdebahnkontrolleur,36040,,,,4769,,Bus Conductor,0,,C,12,0,
omnibuskontrolleur,36040,,,,0,,Bus Conductor,0,,C,12,0,
omnibusfuhrherr,36040,,,,4016,,Bus Conductor,0,,C,12,0,
fiakerführer,98620,,,,1404,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
lohnrößler,98620,,,,3439,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
straßenbahnschaffner,36040,,,,4769,,Bus Conductor,0,,C,12,0,
pferdebahnbeamter,36040,,,,4185,,Bus Conductor,0,,C,12,0,
kutscher,98620,,,,3195,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,coachman
rollkutscher,98620,,,,3195,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
pferdebahnkondukteur,36040,,,,4769,,Bus Conductor,0,,C,12,0,
stellwagenbesitzer,41040,,,,5345,,Working Proprietor (Hiring Out),0,,C,12,0,
droschkenbesitzer,98620,"Owner, proprietor",,,1032,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
einspänner,98620,,,,1068,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
droschkenkutscher,98620,,,,1032,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
zweirößler,98620,,,,6348,,Animal-Drawn Vehicle Driver (Road),0,,C,12,0,
güterbeförderer,98620,,,,2010,,Animal-Drawn Vehicle Driver (Road),0,,C,13,0,
möbeltransportgeschäft,41040,Business,,,3740,,Working Proprietor (Hiring Out),0,,C,13,0,
transporteur,41040,,,,5717,,Working Proprietor (Hiring Out),0,,C,13,0,
kärcher,41040,,,,2606,,Working Proprietor (Hiring Out),0,,C,13,0,
transportgeschäft,41040,Business,,,5717,,Working Proprietor (Hiring Out),0,,C,13,0,
expeditionsgeschäft,41040,Business,,,0,,Working Proprietor (Hiring Out),0,,C,13,0,
inhaber eines expressgeschäfts,41040,"Owner, proprietor",,,0,,Working Proprietor (Hiring Out),0,,C,13,0,
expediteur,41040,,,,0,,Working Proprietor (Hiring Out),0,,C,13,0,
kärner,41040,,,,2607,,Working Proprietor (Hiring Out),0,,C,13,0,
inhaber eines transportgeschäfts,41040,"Owner, proprietor",,,5717,,Working Proprietor (Hiring Out),0,,C,13,0,
bierführer,98620,,,,472,,Animal-Drawn Vehicle Driver (Road),0,,C,13,0,
güterlader,97130,,,,2026,,Railway and Road Vehicle Loader,0,,C,13,0,hauler
möbelfuhrherr,41040,,,,3740,,Working Proprietor (Hiring Out),0,,C,13,0,
möbelfuhrmann,41040,,,,3740,,Working Proprietor (Hiring Out),0,,C,13,0,
güterbegleiter,97130,,,,2010,,Railway and Road Vehicle Loader,0,,C,13,0,
vecturant,41040,,,,5825,,Working Proprietor (Hiring Out),0,,C,13,0,
reifträgerin,,,,,4561,,,1,,C,13,0,
steinfuhre,41040,Business,,,5315,,Working Proprietor (Hiring Out),0,,C,13,0,
frachtbote,98620,,,,1565,,Animal-Drawn Vehicle Driver (Road),0,,C,13,0,
güterschaffner,97130,,,,2028,,Railway and Road Vehicle Loader,0,,C,13,0,
frachtfuhrmann,41040,,,,1567,,Working Proprietor (Hiring Out),0,,C,13,0,
frachtbestätiger,44220,,,,1564,,Business Services Salesman (except Advertising),0,,C,13,0,
holzfuhre,41040,Business,,,2367,,Working Proprietor (Hiring Out),0,,C,13,0,
bierfahrer,98620,,,,472,,Animal-Drawn Vehicle Driver (Road),0,,C,13,0,
kälberführer,98620,,,,2597,,Animal-Drawn Vehicle Driver (Road),0,,C,13,0,
karrenführer,41040,,,,2725,,Working Proprietor (Hiring Out),0,,C,13,0,
möbeltransportanstalt,41040,Business,,,3740,,Working Proprietor (Hiring Out),0,,C,13,0,
reeder,41040,,,,4621,,Working Proprietor (Hiring Out),0,,C,14,0,
gondelbesitzer,41040,,,,0,,Working Proprietor (Hiring Out),0,,C,14,0,
gondelverleiher,41040,,,,0,,Working Proprietor (Hiring Out),0,,C,14,0,
schiffsmakler,44220,,,,4824,,Business Services Salesman (except Advertising),0,,C,14,0,
schiffsabrechner,44220,,,,4817,,Business Services Salesman (except Advertising),0,,C,14,0,
schiffsbefrachter,97120,,,,4821,,Docker,0,,C,14,0,
schiffsreeder,41040,,,,4827,,Working Proprietor (Hiring Out),0,,C,14,0,
schiffseigner,41040,,,,4823,,Working Proprietor (Hiring Out),0,,C,14,0,
schiffeigentümer,41040,"Owner, proprietor",,,4823,,Working Proprietor (Hiring Out),0,,C,14,0,
seeschiffer,04215,,,,5009,,Ship's Master (Sea),0,,C,15,0,
küstenschiffer,04215,,,,3124,,Ship's Master (Sea),0,,C,15,0,
muttschiffer,04215,,,,3825,,Ship's Master (Sea),0,,C,15,0,
seemann,98135,,,,5007,,"Seaman, Able or Ordinary",0,,C,15,0,
tjalkschiffer,04215,,,,5682,,Ship's Master (Sea),0,,C,15,0,
fährmeister,,,,,1286,,,,,C,16,0,
ferge,,,,,1375,,,,,C,16,0,
kanalschiffer,04220,,,,2676,,Ship's Master (Inland Waterways),,,C,16,0,
schiffer,04220,,,,4815,,Ship's Master (Inland Waterways),0,,C,16,0,
stromschiffer,04220,,,,5469,,Ship's Master (Inland Waterways),,,C,16,0,
vorfährer,,,,,5919,,,,,C,16,0,
binnenschiffer,,,,,508,,,,,C,16,0,
floßwiedbinder,,,,,1508,,,,,C,16,0,
regimenter,,,,,4536,,,,,C,16,0,
überführer,,,,,5766,,,,,C,16,0,
flößer,,,,,1503,,,,,C,16,0,
zillenbesitzer,,,,,6277,,,,,C,16,0,
schiffskapitän,04220,,,,4815,,Ship's Master (Inland Waterways),0,,C,16,0,
zwergfahrer,,,,,6349,,,,,C,16,0,
floßmeister,,,,,1510,,,,,C,16,0,
färcher,,,,,1294,,,,,C,16,0,
floßbinder,,,,,1507,,,,,C,16,0,
uferer,,,,,5768,,,,,C,16,0,
schiffsreiter,,,,,4826,,,,,C,16,0,
fluß- und haffschiffer,,,,,1515,,,,,C,16,0,
schiffsführer,04220,,,,4815,,Ship's Master (Inland Waterways),0,,C,16,0,
schiffführer,04220,,,,4815,,Ship's Master (Inland Waterways),0,,C,16,0,
dampfschiffführer,04220,,,,4815,,Ship's Master (Inland Waterways),0,,C,16,0,
frachtflößler,,,,,1566,,,,,C,16,0,
leinreiter,,,,,3373,,,,,C,16,0,
schleusenwärter,98930,,,,4860,,Lock Operator (Canal or Port),0,,C,17,0,
kanalwächter,,,,,2677,,,,,C,17,0,
leuchtfeuerunterhalter,98940,,,,3386,,Lighthouse-Man,0,,C,17,0,
hafenaufseher,22290,,,,2094,,Other Transport and Communications Supervisors,0,,C,17,0,
schleusengehilfe,98930,Subordinate,,,4860,could also refer to a watchman at a horse cabin,Lock Operator (Canal or Port),1,,C,17,0,
verlaatmeister,,,,,5847,,,,,C,17,0,
hafenbeamter,22290,,,,2097,,Other Transport and Communications Supervisors,0,,C,17,0,
kanalmeister,22290,,,,0,,Other Transport and Communications Supervisors,0,,C,17,0,
küstenwachpersonal,,,,,3125,,,,,C,17,0,
schleusenmeister,98930,Master,,,4860,could also refer to a watchman at a horse cabin,Lock Operator (Canal or Port),1,,C,17,0,
strommeister,22290,,,,,"unclear, assumed to refer to a shipper",Other Transport and Communications Supervisors,1,,C,17,0,
lootse,,,,,3450,,,,,C,17,0,
ausgeherin,37040,,,,227,,Messenger,0,,C,18,1,"messenger, hired"
zettelträger,97190,,,,6250,,Other Dockers and Freight Handlers,0,,C,18,0,
packträger,97190,,,,4065,,Other Dockers and Freight Handlers,0,,C,18,0,
kornträger,97190,,,,0,,Other Dockers and Freight Handlers,0,,C,18,0,
hochzeitbitter,,,,,2287,,,,,C,18,0,
taufbitter,,,,,5563,,,,,C,18,0,
botenschaffner,,,,,612,,,,,C,18,0,
brotträger,97190,,,,671,,Other Dockers and Freight Handlers,0,,C,18,0,
kofferträger,97190,,,,2915,,Other Dockers and Freight Handlers,0,,C,18,0,
gepäckträger,97190,,,,1814,,Other Dockers and Freight Handlers,0,,C,18,1,baggage porter
bergführer,59120,,,,398,,Travel Guide,0,,C,18,0,
lohndiener,59990,,,,3432,,Other Service Workers Not Elsewhere Classified,0,,C,18,0,
lohnlakai,59990,,,,0,,Other Service Workers Not Elsewhere Classified,0,,C,18,0,
lohnbedienter,59990,,,,3432,,Other Service Workers Not Elsewhere Classified,0,,C,18,0,
weckausträger,,,,,6080,,,,,C,18,0,
schiebeböcker,,,,,4802,,,,,C,18,0,
weckausträgerin,,,,,6081,,,,,C,18,0,
bote zu fuß,37040,,,,613,,Messenger,0,,C,18,0,
eckensteher,,,,,1049,,,,,C,18,0,
inhaber eines dienstmanninstituts,19420,"Owner, proprietor",,,950,,Personnel Specialist,0,,C,18,0,
dienstmanninstitutinhaber,19420,"Owner, proprietor",,,950,,Personnel Specialist,0,,C,18,0,
laufbote,37040,,,,3287,,Messenger,0,,C,18,0,
dienstbüroinhaber,,,,,947,,,,,C,18,0,
fremdenführer,59130,,,,1579,,Sightseeing Guide,0,,C,18,0,
lastträger,97190,,,,3278,,Other Dockers and Freight Handlers,0,,C,18,0,
lohnmann,,,,,3436,,,,,C,18,0,
gepäckmeister,97190,Master,,,,,Other Dockers and Freight Handlers,0,,C,18,0,
besorgungsanstalt,,,,,411,,,,,C,18,0,
führer,59100,,,,1592,,"Guide, Specialisation Unknown",0,,C,18,0,
dienstmanninstitut,19420,,,,950,,Personnel Specialist,0,,C,18,0,
totenanzieher,59290,,,,5688,,Other Undertakers and Embalmers,0,,C,19,0,
totenanleger,59290,,,,5687,,Other Undertakers and Embalmers,0,,C,19,0,
totengräber,99910,,,,5690,"could refer to more than just the act of grave-digging, thus maybe underestimates social status",Labourer,0,,C,19,0,
leichenfuhrherr,59290,,,,3355,,Other Undertakers and Embalmers,0,,C,19,0,
leichenkutscher,59290,,,,3355,,Other Undertakers and Embalmers,0,,C,19,0,
beerdigungskomtor,59220,Business,,,376,,Undertaker,0,,C,19,0,
chef des beerdigungskomtors,59220,"Owner, proprietor",,,376,,Undertaker,0,,C,19,0,
büro für beerdigungsangelegenheiten,59220,Business,,,376,,Undertaker,0,,C,19,0,
leichenbitter,59220,,,,3354,,Undertaker,0,,C,19,0,
leichenbeamter,59290,,,,0,,Other Undertakers and Embalmers,0,,C,19,0,
leichenanzieher,59290,,,,3352,,Other Undertakers and Embalmers,0,,C,19,0,
leichendiener,59230,,,,0,,Embalmer,0,,C,19,0,
leichenbestatter,59220,,,,3353,,Undertaker,0,,C,19,0,
leichenträger,59290,,,,0,,Other Undertakers and Embalmers,0,,C,19,0,
effektenhändler,44140,,,,1054,,Stock Broker,0,,C,2,0,
wechsler,33150,,,,,,Money Changer,0,,C,2,0,
lotteriekollekteur,45130,,,,5130,,Retail Trade Salesperson,0,,C,2,0,
vorschußverein,,Business,,,6076,,,,,C,2,0,
bank,44140,Business,,,313,,Stock Broker,0,,C,2,0,
bankbuchhalter,33120,,,,0,,Bookkeeping Clerk,0,,C,2,0,
hauptbankbuchhalter,33120,Principal,,,0,,Bookkeeping Clerk,0,,C,2,0,
hauptbankdiener,55220,,,,0,,Charworker,0,b,C,2,0,
inhaber eines fondsgeschäfts,44140,"Owner, proprietor",,,314,,Stock Broker,0,,C,2,0,
lotterieuntereinnehmer,45130,Subordinate,,,3452,,Retail Trade Salesperson,0,,C,2,0,
bankassistent,33940,,,,0,,Finance Clerk,0,,C,2,0,
bankkontrolleur,33940,,,,0,,Finance Clerk,0,,C,2,0,
hypothekenbank,44140,Business,,,2491,,Stock Broker,0,,C,2,0,
kreditverein,,,,,880,,,,,C,2,0,
bankkommissionsgeschäft,44140,Business,,,314,,Stock Broker,0,,C,2,0,
bank- und kommissionsgeschäft,44140,Business,,,314,,Stock Broker,0,,C,2,0,
lombardgeschäft,44140,Business,,,314,,Stock Broker,0,,C,2,0,
bankier,44140,,,,315,,Stock Broker,0,,C,2,0,
banquier,44140,,,,315,,Stock Broker,0,,C,2,0,
kollekteur,45130,,,,3453,,Retail Trade Salesperson,0,,C,2,0,
fondsgeschäft,44140,Business,,,314,,Stock Broker,0,,C,2,0,
bankbeamter,33940,,,,312,,Finance Clerk,0,,C,2,0,
bankdiätar,33940,,,,312,,Finance Clerk,0,,C,2,0,
bankinspektor,33940,,,,312,,Finance Clerk,0,,C,2,0,
bank- und getreidegeschäft,44140,Business,,,314,,Stock Broker,0,,C,2,0,
börsenmakler,44140,,,,314,"coded as Bank-, Fonds- und Wechselgeschäfte",Stock Broker,0,,C,2,0,
börsenagent,44140,,,,314,"coded as Bank-, Fonds- und Wechselgeschäfte",Stock Broker,0,,C,2,0,
wechselhändler,44140,,,,6079,,Stock Broker,0,,C,2,0,
wechselgeschäft,44140,Business,,,6079,,Stock Broker,0,,C,2,0,
inhaber eines wechselgeschäfts,44140,"Owner, proprietor",,,6079,,Stock Broker,0,,C,2,0,
wechselmakler,44140,,,,6079,,Stock Broker,0,,C,2,0,
lotterieeinnehmer,45130,,,,3452,,Retail Trade Salesperson,0,,C,2,0,
sparkasse,44140,Business,,,5346,,Stock Broker,0,,C,2,0,
aktienhändler,44140,,,,59,,Stock Broker,0,,C,2,0,
fondsmakler,44140,,,,314,,Stock Broker,0,,C,2,0,
forderungenhändler,44140,,,,1517,,Stock Broker,0,,C,2,0,
inhaber eines lotteriegeschäfts,45130,"Owner, proprietor",,,3452,,Retail Trade Salesperson,0,,C,2,0,
stempeldistributeur,,,,,5927,,,,,C,2,0,
bankgeschäft,44140,Business,,,314,,Stock Broker,0,,C,2,0,
inhaber eines bank- und getreidegeschäfts,44140,"Owner, proprietor",,,314,,Stock Broker,0,,C,2,0,
lotteriegeschäft,45130,Business,,,3452,,Retail Trade Salesperson,0,,C,2,0,
bankdirektor,21940,,,,0,,Administration Manager,0,,C,2,0,
generallotteriedirektor,21940,,,,0,,Administration Manager,0,,C,2,0,
rentenbankdirektor,21940,,,,0,,Administration Manager,0,,C,2,0,
lotterieobereinnehmer,45130,Principal,,,3452,,Retail Trade Salesperson,0,,C,2,0,
leihkasse,,Business,,,3362,,,,,C,2,0,
inkassogeschäft,,Business,,,2523,,,,,C,2,0,
geldwechsler,33150,,,,1744,,Money Changer,0,,C,2,0,
vermieter,51040,,,,0,"could refer to various hiring out businesses, here coded as Zimmervermieter",Working Proprietor (Guest House),0,,C,20,0,
bettvermieter,51040,,,,0,,Working Proprietor (Guest House),0,,C,20,0,
fehenbaas,51040,,,,1343,,Working Proprietor (Guest House),0,,C,20,0,
restaurateur,51030,,,,4600,,Working Proprietor (Restaurateur),0,,C,20,0,
gastronom,51030,,,,4600,,Working Proprietor (Restaurateur),0,,C,20,0,
quartiersmann,51040,,,,4460,,Working Proprietor (Guest House),0,,C,20,0,boarding master
oberkellner,53220,Principal,,,0,,Head Waiter,0,,C,20,0,
fastenküche,51050,Business,,,1330,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
wirtschaft,51020,Business,,,,,Working Proprietor (Hotel and Restaurant),0,,C,20,0,
hotelgarni,51040,Business,,,2442,,Working Proprietor (Guest House),0,,C,20,0,
kaffeeschänker,51050,,,,2620,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
pensionatsvorsteher,21940,,,,0,,Administration Manager,0,,C,20,0,
vorsteher eines pensionats,21940,,,,0,,Administration Manager,0,,C,20,0,
vorsteherin eines pensionats,21940,,,,0,,Administration Manager,0,,C,20,0,
büffetier,53210,,,,0,,"Waiter, General",0,,C,20,0,
buffetier,53210,,,,0,,"Waiter, General",0,,C,20,0,
garküche,51050,Business,,,1660,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
damenpensionär,51040,,,,4143,,Working Proprietor (Guest House),0,,C,20,0,
bierschänke,51050,Business,,,475,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
bierschänker,51050,Business,,,475,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
herberge,51040,Business,,,2263,,Working Proprietor (Guest House),0,,C,20,0,
damenpensionat,51040,Business,,,4143,,Working Proprietor (Guest House),0,,C,20,0,
vorsteherin eines damenpensionats,51040,Business,,,4143,,Working Proprietor (Guest House),0,,C,20,0,
baudenbesitzer,51040,"Owner, proprietor",,,333,,Working Proprietor (Guest House),0,,C,20,0,
kostgeber,51020,,,,3018,,Working Proprietor (Hotel and Restaurant),0,,C,20,0,
butenwirt,51050,,,,750,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
brauschänke,51050,Business,,,636,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
weinschänke,51050,Business,,,6100,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
badewirt,51090,,,,261,,"Other Working Proprietors (Catering, Lodging and Leisure Services)",0,,C,20,0,
zapfer,53250,,,,6229,,Bartender,0,,C,20,0,
traiteur,53130,,,,5714,,"Cook, Except Private Service",0,,C,20,0,
kosthalter,51020,,,,3019,,Working Proprietor (Hotel and Restaurant),0,,C,20,0,
kochfrau,53100,,,,2904,,"Cook, Specialisation Unknown",0,,C,20,0,
hotelbesitzer,51020,"Owner, proprietor",,,2441,coded as hotelier,Working Proprietor (Hotel and Restaurant),0,,C,20,0,
hotelinhaber,51020,"Owner, proprietor",,,2441,coded as hotelier,Working Proprietor (Hotel and Restaurant),0,,C,20,0,
hotelpächter,51020,"Lease-holder, share-cropper",,,2441,coded as hotelier,Working Proprietor (Hotel and Restaurant),0,,C,20,0,
pensionat,51040,Business,,,4143,,Working Proprietor (Guest House),0,,C,20,0,
pension,51040,Business,,,4143,,Working Proprietor (Guest House),0,,C,20,0,
pensionatsinhaber,51040,"Owner, proprietor",,,4143,,Working Proprietor (Guest House),0,,C,20,0,
inhaber eines damenpensionats,51040,"Owner, proprietor",,,4143,,Working Proprietor (Guest House),0,,C,20,0,
weinzieher,51050,,,,6099,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
pensionsvorsteher,21940,,,,0,,Administration Manager,0,,C,20,0,
suppenanstalt,51020,Business,,,5508,,Working Proprietor (Hotel and Restaurant),0,,C,20,0,
inhaber eines schankgeschäfts,51050,"Owner, proprietor",,,236,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
speisewirt,51020,,,,5138,,Working Proprietor (Hotel and Restaurant),0,,C,20,0,
herbergsvater,51040,,,,2264,,Working Proprietor (Guest House),0,,C,20,0,
kostkinderpflegerin,51090,,,,3020,,"Other Working Proprietors (Catering, Lodging and Leisure Services)",0,,C,20,0,
zimmervermieter,51040,,,,6283,,Working Proprietor (Guest House),0,,C,20,0,
logirwirt,51040,,,,3423,,Working Proprietor (Guest House),0,,C,20,0,
bierwirt,51050,,,,478,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
herbergswirt,51040,,,,2264,,Working Proprietor (Guest House),0,,C,20,0,
pensionsanstalt,51040,Business,,,4143,,Working Proprietor (Guest House),0,,C,20,0,
vorsteher einer pensionsanstalt,51040,Business,,,4143,,Working Proprietor (Guest House),0,,C,20,0,
pensionsanstalt für töchter,51040,Business,,,4143,,Working Proprietor (Guest House),0,,C,20,0,
auskochwirt,51050,,,,229,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
gastwirt,51020,,,,1696,,Working Proprietor (Hotel and Restaurant),0,,C,20,0,
krüger,51050,,,,3104,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
lohnkellner,53230,,,,3433,,"Waiter, Formal Service",0,,C,20,0,
speiseanstalt,51020,Business,,,5137,,Working Proprietor (Hotel and Restaurant),0,,C,20,0,
kaffeelokal,51050,Business,,,2620,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
inhaber eines pensionats,51040,"Owner, proprietor",,,4143,,Working Proprietor (Guest House),0,,C,20,0,
chambregarnie,51020,Business,,,2442,,Working Proprietor (Guest House),0,,C,20,0,
chambregarniebesitzer,51020,"Owner, proprietor",,,2442,,Working Proprietor (Guest House),0,,C,20,0,
ausspannung,51090,Business,,,239,,"Other Working Proprietors (Catering, Lodging and Leisure Services)",0,,C,20,0,
mägdeherberge,51040,Business,,,3466,,Working Proprietor (Guest House),0,,C,20,0,
koch,53100,,,,2907,,"Cook, Specialisation Unknown",0,,C,20,0,cook
inhaber eines kaffeelokals,51050,"Owner, proprietor",,,2620,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
zapfwirtschaft,51050,Business,,,6230,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
inhaber einer wirtschaft,51020,"Owner, proprietor",,,,,Working Proprietor (Hotel and Restaurant),0,,C,20,0,
marketender,41030,,,,3523,,Working Proprietor (Retail Trade),0,,C,20,0,
chambregarnievermieter,51040,,,,2442,,Working Proprietor (Guest House),0,,C,20,0,
schankwirt,51050,,,,4776,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
trinkhallenbesitzer,51050,,,,0,,"Working Proprietor (Café, Bar and Snack Bar)",0,,C,20,0,
